"finess_ET","finess_EJ","RS","cat","statut","address","lat","lng","LIT_chir","LIT_obs","LIT_HAD","LIT_med","LIT_psy","LIT_SLD","LIT_SSR","SEJHC_chir","SEJHC_obs","SEJHC_HAD","SEJHC_med","SEJHC_psy","SEJHC_SLD","SEJHC_SSR","JOU_chir","JOU_obs","JOU_HAD","JOU_med","JOU_psy","JOU_SLD","JOU_SSR","PLA_chir","PLA_obs","PLA_HAD","PLA_med","PLA_psy","PLA_SLD","PLA_SSR","SEJHP_chir","SEJHP_obs","SEJHP_HAD","SEJHP_med","SEJHP_psy","SEJHP_SLD","SEJHP_SSR","LIT_total","SEJHC_total","JOU_total","PLA_total","SEJHP_total"
"130786932","130002660","CENTRE DE REEDUCATION PAUL CEZANNE","SSR prive","Prive lucratif","CENTRE DE REEDUCATION PAUL CEZANNE 929 RTE DE GARDANNE 13105 MIMET",43.4221996,5.5156128,NA,NA,NA,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,852,NA,NA,NA,NA,NA,NA,29897,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,8088,82,852,29897,22,8088
"130786973","130002702","CLINIQUE MEDIAZUR","Maison de sant√© pour maladies mentales","Prive lucratif",NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,261,NA,NA,NA,NA,NA,NA,27188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,261,27188,0,0
"130787369","130002777","CTRE REED FONCT LE GRAND LARGE","SSR prive","Prive lucratif","CTRE REED FONCT LE GRAND LARGE 42 PROM DU GRAND LARGE 13008 MARSEILLE",43.2388976,5.3625062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,26658,0,0,0,75,26658
"130789159","750043994","Centre Cardio Vasculaire Valmante","Etablissement de soins medicaux","Prive lucratif","CENTRE CARDIO VASCULAIRE VALMANTE 100 TRA DE LA GOUFFONNE RTE CASSIS 13009 MARSEILLE",43.2462204,5.4121194,NA,NA,NA,19,NA,NA,90,NA,NA,NA,573,NA,NA,1166,NA,NA,NA,6391,NA,NA,26922,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,0,NA,NA,3281,109,1739,33313,10,3281
"130789357","130002843","CTRE REED  FONCT LES FEUILLADES","SSR prive","Prive lucratif","CLINIQUE READAPT FONCT LES FEUILLADES 1330 CHE D EGUILLES 13090 AIX EN PROVENCE",43.5563277,5.4024535,NA,NA,NA,NA,NA,NA,153,NA,NA,NA,NA,NA,NA,1505,NA,NA,NA,NA,NA,NA,53882,NA,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,13770,153,1505,53882,37,13770
"130790157","130789316","CH DE MARTIGUES HOPITAL DU VALLON","CH","Public","CH DE MARTIGUES HOPITAL DU VALLON BD DU 19 MARS 1962 13500 MARTIGUES",43.4130707,5.0401955,NA,NA,NA,NA,75,NA,27,NA,NA,NA,NA,1112,NA,377,NA,NA,NA,NA,24055,NA,8440,NA,NA,NA,NA,56,NA,0,NA,NA,NA,NA,15555,NA,0,102,1489,32495,56,15555
"130798002","130004807","CLINIQUE LA LAURANNE","Maison de sant√© pour maladies mentales","Prive lucratif",NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,1166,NA,NA,NA,NA,NA,NA,69187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,1166,69187,0,0
"130798358","130041916","USLD DUQUESNE SITE AIX","SLD","Public",NA,NA,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,25454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,43,25454,0,0
"130802143","130804396","HAD SOINS ASSISTANCE","HAD","Prive non lucratif (non ESPIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17667,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,385,NA,NA,NA,NA,0,0,17667,60,385
"130804297","130786049","HOPITAL LA TIMONE ENFANTS","CHR","Public","APHM HOPITAL LA TIMONE ENFANTS 264 R SAINT PIERRE 13385 MARSEILLE CEDEX 05",43.2906512,5.4017518,85,NA,NA,110,NA,NA,NA,4951,NA,NA,6533,NA,NA,NA,18500,NA,NA,35196,NA,NA,NA,10,NA,NA,38,NA,NA,NA,2039,NA,NA,6441,NA,NA,NA,195,11484,53696,48,8480
"130806011","130001183","MS SAINT PAUL DE MAUSOLE","Maison de sant√© pour maladies mentales","Prive non lucratif (non ESPIC)",NA,NA,NA,NA,NA,NA,NA,67,NA,NA,NA,NA,NA,NA,458,NA,NA,NA,NA,NA,NA,24242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,458,24242,0,0
"130806029","130006794","AUTODIALYSE AIX EN PROVENCE","Structure d'alternative a la dialyse","Prive non lucratif (non ESPIC)","ATMIR AUTODIALYSE PARC D ARIANE AIX 6 BD GRANDE THUMINE BT D 13090 AIX EN PROVENCE",43.5227923,5.4123099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"130806078","130016058","AUTODIALYSE MARSEILLE","Structure d'alternative a la dialyse","Prive lucratif","ATUP AUTODIALYSE MARSEILLE 08 19 R BORDE 13008 MARSEILLE",43.278606,5.389864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"130806417","130006810","AUTODIALYSE ET VACANCES ADPC AUBAGNE","Structure d'alternative a la dialyse","ESPIC","ADPC UNITE D AUTODIALYSE AUBAGNE 332 AV DU 21 AOUT 1944 13400 AUBAGNE",43.2880733,5.5637738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"130809015","130001928","CTRE GERONTO DPTAL LA TOUR BLANCHE","CH","Public","CTRE GERONTO DPTAL LA TOUR BLANCHE 176 AV DE MONTOLIVET 13375 MARSEILLE CEDEX 12",43.3104385,5.4105373,NA,NA,NA,43,NA,150,51,NA,NA,NA,1021,NA,68,614,NA,NA,8259,12169,NA,52989,14561,NA,NA,25,5,NA,NA,0,NA,NA,210,593,NA,NA,NA,244,1703,87978,30,803
"130809809","130007156","CENTRE D'HEMODIALYSE DE PROVENCE AUBAGNE","Centre de dialyse","Prive lucratif","CTRE D HEMODIALYSE DE PROVENCE AUBAGNE 33 BD DES FARIGOULES 13681 AUBAGNE CEDEX",43.2760366,5.5313597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"130809981","920000395","Clinique Les Pins","SSR prive","Prive lucratif",NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,NA,NA,NA,NA,837,NA,NA,NA,NA,NA,NA,32489,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,6589,90,837,32489,20,6589
"130810740","130007362","CLINIQUE AXIUM","Etablissement de soins pluridisciplinaire","Prive lucratif","CLINIQUE AXIUM 21 AV ALFRED CAPUS 13097 AIX EN PROVENCE CEDEX 2",43.5348606,5.4348341,62,NA,NA,47,NA,NA,NA,3701,NA,NA,1539,NA,NA,NA,14145,NA,NA,11235,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,14951,NA,NA,0,NA,NA,NA,109,5240,25380,19,14951
"130811102","130007487","LA MAISON","Etablissement de soins medicaux","ESPIC","LA MAISON A GARDANNE RTE BLANCHE QUART PESQUIER SUD 13120 GARDANNE",43.4440278,5.4696502,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,327,NA,NA,NA,NA,NA,NA,7768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,24,327,7768,0,0
"130811680","130029218","AUTODIALYSE DU CENTRE D'HEMODIALYSE DE PCE CHP AIX","Structure d'alternative a la dialyse","Prive lucratif","CTRE D HEMODIAL PROV AUTODIALYSE AIX 50 AV DOCTEUR AURIENTIS 13100 AIX EN PROVENCE",43.5306492,5.4576731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"130811797","130006562","AUTODIALYSE DIAVERUM PROVENCE MIRAMAS","Structure d'alternative a la dialyse","Prive lucratif","DIAVERUM PROVENCE MIRAMAS 3 R EUGENE PELLETAN 13140 MIRAMAS",43.5822814,5.0019898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"140000027","140000035","CENTRE HOSPITALIER DE LISIEUX","CH","Public","CENTRE HOSPITALIER DE LISIEUX 4 R ROGER AINI 14107 LISIEUX CEDEX",49.1436999,0.2435208,47,32,NA,226,NA,40,25,2547,2002,NA,12833,NA,25,255,11962,8949,11578,71291,NA,12784,7240,10,2,42,11,NA,NA,NA,1543,300,496,887,NA,NA,NA,370,17662,123804,65,3226
"140000076","140000084","CENTRE HOSPITALIER D'AUNAY SUR ODON","CH","Public","CENTRE HOSPITALIER D AUNAY SUR ODON 5 R DE L HOPITAL 14260 AUNAY SUR ODON",49.0183659,-0.6330722,NA,NA,NA,29,NA,NA,45,NA,NA,NA,1100,NA,NA,379,NA,NA,3012,8742,NA,NA,14019,NA,NA,12,1,NA,NA,4,NA,NA,100,11,NA,NA,1288,74,1479,25773,17,1399
"140000209","140000100","CHU COTE DE NACRE - CAEN","CHR","Public","CHU COTE DE NACRE - CAEN AV COTE DE NACRE 14033 CAEN CEDEX 9",49.205324,-0.35763,356,80,NA,596,45,NA,17,18058,4845,NA,33207,793,NA,147,93019,23737,1406,178061,15183,NA,5822,31,6,5,66,20,NA,0,7631,344,112,7666,11540,NA,0,1094,57050,317228,128,27293
"140000233","140000118","CENTRE HOSPITALIER DE FALAISE","CH","Public","CENTRE HOSPITALIER DE FALAISE BD DES BERCAGNES 14700 FALAISE",48.8911736,-0.2058267,39,18,NA,92,NA,NA,26,2129,664,NA,4101,NA,NA,291,9551,2681,3439,28061,NA,NA,8592,6,1,12,2,15,NA,4,1327,185,165,183,2194,NA,1058,175,7185,52324,40,5112
"140000241","140026279","CH COTE FLEURIE - SITE D'EQUEMAUVILLE","CH","Public","CH COTE FLEURIE - SITE D EQUEMAUVILLE CHE DE LA PLANE EQUEMAUVILLE 14601 HONFLEUR CEDEX",49.383013,0.2031723,NA,NA,NA,NA,NA,30,30,NA,NA,NA,NA,NA,19,363,NA,NA,NA,NA,NA,10257,10367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,382,20624,0,0
"140000258","140000415","POLYCLINIQUE DE DEAUVILLE","Etablissement de soins pluridisciplinaire","Prive lucratif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6702,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,0,0,6702,15,174
"140000290","140000449","CLINIQUE NOTRE DAME - VIRE","Etablissement de soins chirurgicaux","Prive lucratif","CLINIQUE NOTRE DAME - VIRE 23 R DES ACRES 14500 VIRE",48.8408979,-0.8970686,72,NA,NA,1,NA,NA,NA,3262,NA,NA,50,NA,NA,NA,13030,NA,NA,512,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,3458,NA,NA,0,NA,NA,NA,73,3312,13542,8,3458
"140000308","140000134","CENTRE HOSPITALIER DE PONT L'EVEQUE","CH","Public","CENTRE HOSPITALIER DE PONT L EVEQUE 9 R DE BROSSARD 14130 PONT L EVEQUE",49.2840175,0.1835492,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,587,NA,NA,NA,NA,NA,NA,24909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,587,24909,0,0
"140000324","140026279","CH COTE FLEURIE - SITE DE TROUVILLE","CH","Public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,1126,NA,NA,0,0,0,10,1126
"140000340","140025800","Fondation de la  MisÈricorde - SSR - URSP","SSR prive","ESPIC","CENTRE SSR BETHARRAM HEROUVILLE 881 BD DE LA PAIX 14200 HEROUVILLE ST CLAIR",49.1925453,-0.3256945,NA,NA,NA,12,NA,NA,72,NA,NA,NA,200,NA,NA,721,NA,NA,NA,3519,NA,NA,24608,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,84,921,28127,0,0
"140000373","140000159","CENTRE HOSPITALIER DE VIRE","CH","Public","CENTRE HOSPITALIER DE VIRE 4 R EMILE DESVAUX 14504 VIRE CEDEX",48.8359667,-0.8841599,NA,7,NA,84,25,30,20,NA,70,NA,4045,683,29,284,NA,193,4705,30038,8560,10286,6834,NA,0,16,5,48,NA,4,NA,0,136,432,3402,NA,1293,166,5111,60616,73,5263
"140000456","140000316","ETS PUBLIC DE SANTE MENTALE","CHS","Public",NA,NA,NA,NA,NA,NA,NA,349,NA,NA,NA,NA,NA,NA,3148,NA,NA,NA,NA,NA,NA,103509,NA,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,NA,27530,NA,NA,349,3148,103509,203,27530
"140000555","140000639","CRLCC FRANCOIS BACLESSE - CAEN","CLCC","ESPIC","CRLCC FRANCOIS BACLESSE - CAEN RTE DE LION SUR MER 14076 CAEN CEDEX 5",49.2034671,-0.3545237,44,NA,NA,110,NA,NA,NA,2525,NA,NA,4357,NA,NA,NA,9050,NA,NA,32994,NA,NA,NA,5,NA,NA,45,NA,NA,NA,1460,NA,NA,866,NA,NA,NA,154,6882,42044,50,2326
"140002239","140000415","CRF SAINT FRANCOIS - DEAUVILLE","SSR prive","Prive lucratif","CRF SAINT FRANCOIS - DEAUVILLE 141 AV DE LA REPUBLIQUE 14800 DEAUVILLE",49.3539675,0.0690444,NA,NA,NA,NA,NA,NA,70,NA,NA,NA,NA,NA,NA,691,NA,NA,NA,NA,NA,NA,22819,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,9690,70,691,22819,15,9690
"140002254","140000852","ANIDER","Structure d'alternative a la dialyse","ESPIC","ANIDER - HEROUVILLE SAINT CLAIR 11 AV DE CAMBRIDGE 14202 HEROUVILLE ST CLAIR CEDEX",49.2144987,-0.3564527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"140002452","140025800","CLINIQUE DE LA MISERICORDE - CAEN","Etablissement de soins pluridisciplinaire","ESPIC","CLINIQUE DE LA MISERICORDE - CAEN 15 R DES FOSSES SAINT JULIEN 14000 CAEN",49.185343,-0.367257,NA,NA,NA,53,NA,NA,NA,0,NA,NA,2380,NA,NA,NA,0,NA,NA,16660,NA,NA,NA,6,NA,NA,NA,NA,NA,16,2728,NA,NA,0,NA,NA,4,53,2380,16660,22,2732
"140002619","750721334","HAD CROIX ROUGE FRANCAISE - CAEN","HAD","Prive non lucratif (non ESPIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16884,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,518,NA,NA,NA,NA,0,0,16884,60,518
"140004136","140000092","UNITE PSYCHIATRIQUE - CH BAYEUX","CH","Public",NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,501,NA,NA,NA,NA,NA,NA,12145,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,7947,NA,NA,45,501,12145,55,7947
"140004383","140000100","CHR GEORGES CLEMENCEAU - CAEN","CHR","Public","CHR GEORGES CLEMENCEAU - CAEN AV GEORGES CLEMENCEAU 14033 CAEN CEDEX 9",49.1900502,-0.3443813,NA,NA,NA,95,8,NA,NA,NA,NA,NA,3679,392,NA,NA,NA,NA,NA,31042,2949,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,865,NA,NA,NA,103,4071,33991,4,865
"140012196","140000100","UNITE SOINS LONGUE DUREE - CHU CAEN","SLD","Public",NA,NA,NA,NA,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,35428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,44,35428,0,0
"140013830","140000118","UNITE SOINS LONGUE DUREE - CH FALAISE","SLD","Public",NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,21730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,38,21730,0,0
"140015975","310021092","THALATTA","SSR prive","Prive lucratif","CENTRE SSR THALATTA - LES VILLANDIERES 65 BD BOIVIN CHAMPEAUX 14150 OUISTREHAM",49.285026,-0.2514983,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,428,NA,NA,NA,NA,NA,NA,16539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,428,16539,0,0
"140016106","140000035","HOPITAL DE JOUR (14 G 07) - CH LISIEUX","CH","Public",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,3914,NA,NA,0,0,0,12,3914
"140016155","140027426","SOINS ET MAINTIEN A DOMICILE DU BESSIN","HAD","Prive non lucratif (non ESPIC)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13510,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,269,NA,NA,NA,NA,0,0,13510,40,269
"140016759","140003146","POLYCLINIQUE DU PARC - CAEN","Etablissement de soins pluridisciplinaire","Prive lucratif","POLYCLINIQUE DU PARC - CAEN 20 AV GEORGES GUYNEMER 14052 CAEN CEDEX 4",49.1683523,-0.3454672,121,50,NA,12,NA,NA,NA,6870,2427,NA,3088,NA,NA,NA,25546,11428,NA,10359,NA,NA,NA,32,0,NA,15,NA,NA,NA,8803,20,NA,5,NA,NA,NA,183,12385,47333,47,8828
"140017237","140003278","HOPITAL PRIVE ST MARTIN","Etablissement de soins pluridisciplinaire","Prive lucratif","HOPITAL PRIVE ST MARTIN-CAEN 18 R DES ROQUEMONTS 14050 CAEN CEDEX 4",49.1980727,-0.3805366,149,NA,NA,76,NA,NA,NA,10621,NA,NA,7451,NA,NA,NA,41359,NA,NA,22576,NA,NA,NA,62,NA,NA,0,NA,NA,NA,17508,NA,NA,0,NA,NA,NA,225,18072,63935,62,17508
"140017278","610787285","INSTITUT MEDECINE PHYSIQUE ET READAPTA","SSR prive","ESPIC","INSTITUT MEDECINE PHYSIQUE ET READAPTA ALL DES BOISELLES 14201 HEROUVILLE ST CLAIR CEDEX",49.213606,-0.3312214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,22906,0,0,0,63,22906
"140017401","140000092","UNITE SOINS LONGUE DUREE - CH BAYEUX","SLD","Public",NA,NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,17516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,38,17516,0,0
"140018730","140000423","POLYCLINIQUE DE LISIEUX","Etablissement de soins pluridisciplinaire","Prive lucratif","POLYCLINIQUE DE LISIEUX 175 R ROGER AINI 14100 LISIEUX",49.1450671,0.2592237,34,NA,NA,6,NA,NA,NA,2130,NA,NA,111,NA,NA,NA,5860,NA,NA,911,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,3607,NA,NA,0,NA,NA,NA,40,2241,6771,8,3607
"140019175","930019484","CRF MANOIR D' APRIGNY - BAYEUX","SSR prive","Prive non lucratif (non ESPIC)","CRF MANOIR D APRIGNY - BAYEUX R LOUVIERE 14400 BAYEUX",49.2825656,-0.7043692,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,1415,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1019,10,152,1415,3,1019
"140024886","140000092","CENTRE HOSPITALIER - BAYEUX","CH","Public","CENTRE HOSPITALIER - BAYEUX 13 R DE NESMOND 14400 BAYEUX",49.2746787,-0.7014535,29,18,NA,100,NA,NA,NA,1845,831,NA,6095,NA,NA,NA,8439,3410,NA,32054,NA,NA,NA,10,0,NA,5,NA,NA,5,2553,143,NA,428,NA,NA,1894,147,8771,43903,20,5018
"140025123","310021126","CENTRE READAPTA. FONCTIONNELLE DE CAEN","SSR prive","Prive lucratif","CRF DE CAEN 38 R DE BROCELIANDE 14000 CAEN",49.1816944,-0.4080797,NA,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,707,NA,NA,NA,NA,NA,NA,21626,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,66,707,21626,0,0
"140025255","310020383","KORIAN COTE NORMANDE","SSR prive","Prive lucratif","KORIAN COTE NORMANDE - IFS 10 R ANTON TCHEKHOV 14123 IFS",49.1481348,-0.3577372,NA,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,NA,1376,NA,NA,NA,NA,NA,NA,53479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,1376,53479,0,0
"140025362","140000092","SSR SITE HENRY DUNANT - CH BAYEUX","CH","Public","SSR SITE HENRY DUNANT - CH BAYEUX PL HENRI DUNANT 14400 BAYEUX",49.2746787,-0.7014535,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,424,NA,NA,NA,NA,NA,NA,12106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,424,12106,0,0
"140025487","140000092","SOINS SUITE P…DIATRIQUES - MANoir  APRIGNY","CH","Public","SOINS SUITE PEDIATRIQUES - MAN APRIGNY R LOUVIERE 14400 BAYEUX",49.2825656,-0.7043692,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,289,NA,NA,NA,NA,NA,NA,2719,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1077,8,289,2719,3,1077
"140026410","140026279","CH COTE FLEURIE - SITE DE CRICQUEBOEUF","CH","Public","CH COTE FLEURIE - SITE DE CRICQUEBOEUF RTE DEPARTEMENTALE 62 14113 CRICQUEBOEUF",49.3828425,0.1298243,NA,24,NA,76,NA,NA,40,NA,981,NA,3457,NA,NA,692,NA,2676,NA,25704,NA,NA,11981,NA,NA,NA,1,NA,NA,20,NA,0,NA,160,NA,NA,8514,140,5130,40361,21,8674
"140026709","140000415","POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF","Etablissement de soins pluridisciplinaire","Prive lucratif","POLYCLINIQUE DE DEAUVILLE-CRICQUEBOEUF RTE DEPARTEMENTALE 62 14113 CRICQUEBOEUF",49.3829386,0.130334,54,NA,NA,6,NA,NA,NA,5373,0,NA,144,NA,NA,NA,8483,0,NA,1086,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,60,5517,9569,8,0
"140027434","140000852","ANIDER - HONFLEUR","Structure d'alternative a la dialyse","ESPIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"140027681","610004939","Association Marie-Ange MOTTIER","SSR prive","ESPIC","CMPR LA CLAIRIERE - HEROUVILLE STCLAIR 3 R DES BOISELLES 14201 HEROUVILLE ST CLAIR CEDEX",49.213606,-0.3312214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,2836,0,0,0,23,2836
"140027731","720020171","CENTRE MAURICE TUBIANA","Etablissement de soins medicaux","Prive lucratif",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0
"150000024","150780047","CH DE CONDAT EN FENIERS","CH","Public","CH DE CONDAT EN FENIERS RTE DE BORT 15190 CONDAT",45.3411635,2.7527731,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,NA,2393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,15,138,2393,0,0
"150000032","150780088","CENTRE HOSPITALIER DE SAINT FLOUR","CH","Public","CENTRE HOSPITALIER DE SAINT FLOUR AV DOCTEUR MALLET 15102 ST FLOUR CEDEX",45.0338118,3.0861523,30,15,NA,71,NA,35,NA,1675,751,NA,2584,NA,23,NA,7970,2524,NA,23042,NA,12246,NA,4,0,NA,4,NA,NA,NA,322,68,NA,405,NA,NA,NA,151,5033,45782,8,795
"150000040","150780096","CENTRE HOSPITALIER HENRI MONDOR","CH","Public","CENTRE HOSPITALIER HENRI MONDOR 50 AV DE LA REPUBLIQUE 15002 AURILLAC CEDEX",44.9263373,2.4355964,62,31,NA,226,115,46,76,3325,1695,NA,10135,1371,26,843,18289,5666,3204,68833,35739,16688,27343,12,NA,10,20,39,NA,10,2516,0,261,1582,17133,NA,1617,556,17395,175762,91,23109
"150000149","150780393","CENTRE HOSPITALIER PIERRE RAYNAL","CH","Public","CENTRE HOSPITALIER PIERRE RAYNAL AV PIERRE VIALARD 15110 CHAUDES AIGUES",44.8543841,3.0047913,NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,822,NA,NA,NA,NA,NA,NA,10803,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,822,10803,0,0
"150000164","150780468","CENTRE HOSPITALIER DE MAURIAC","CH","Public","CENTRE HOSPITALIER DE MAURIAC AV FERNAND TALLANDIER 15200 MAURIAC",45.2181425,2.3393651,NA,NA,NA,40,NA,30,23,NA,NA,NA,1938,NA,15,305,NA,NA,NA,14838,NA,10205,7562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,93,2258,32605,0,0
